Altium Designer Pick and Place Locations
C:\Users\fatto\Documents\GitHub\Prototipo-G4y\Hardware\G4y_SuperCap\Project Outputs for G4y_SuperCap\Production_PG_Enable_noDisplay\Pick Place\Pick Place for G4y_SuperCap(Production_PG_Enable_noDisplay).txt

========================================================================================================================
File Design Information:

Date:       25/05/26
Time:       21:44
Revision:   e0d358b3c8542bb99202128285b7b06634aa22f0
Variant:    Production_PG_Enable_noDisplay
Units used: mil

Designator Comment             Layer       Footprint         Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                      PartNumber       
R15        R_R0402_2M55        BottomLayer R0402             74.803        -560.039      90       "2.55MO ±1% 62.5mW 0402 Thick Film Resistor"                                                                                                     0402WGF2554TCE   
R14        R_R0402_0R          BottomLayer R0402             118.110       -560.039      90       "0O 62.5mW 50V Thick Film Resistor ±5% 0402 Chip Resistor - Surface Mount ROHS"                                                                  0402WGJ0000TCE   
R13        R_R0402_2M7         BottomLayer R0402             -15.748       -559.055      270      "2.7MO ±1% 62.5mW 0402 Thick Film Resistor"                                                                                                      0402WGF2704TCE   
R12        R_R0402_4M7         BottomLayer R0402             161.417       -560.039      90       "4.7MO ±1% 62.5mW 0402 Thick Film Resistor"                                                                                                      0402WGF4704TCE   
R11        R_R0402_1M5         BottomLayer R0402             31.496        -560.039      90       "1.5MO ±1% 62.5mW 0402 Thick Film Resistor"                                                                                                      0402WGF1504TCE   
R10        R_R0402_221k        BottomLayer R0402             -97.278       -231.532      90       "221kO ±1% 62.5mW 0402 Thick Film Resistor"                                                                                                      0402WGF2213TCE   
R9         R_R0402_221k        BottomLayer R0402             -57.908       -231.532      90       "221kO ±1% 62.5mW 0402 Thick Film Resistor"                                                                                                      0402WGF2213TCE   
R8         R_R0402_6M65        BottomLayer R0402             74.803        -489.173      90       "6.65MO ±1% 62.5mW 0402 Thick Film Resistor"                                                                                                     0402WGF6654TCE   
R6         R_R0402_6M65        BottomLayer R0402             31.496        -489.173      90       "6.65MO ±1% 62.5mW 0402 Thick Film Resistor"                                                                                                     0402WGF6654TCE   
R5         R_R0402_6M65        BottomLayer R0402             161.417       -489.173      90       "6.65MO ±1% 62.5mW 0402 Thick Film Resistor"                                                                                                     0402WGF6654TCE   
